PI_X,PI_Y,PR_X,PR_Y,VI,VR,AI,AR,Clasa
374.54011884736246,648.256954077822,374.2272323254966,648.371916250531,95.47720078212029,95.60683372059991,3.071617633914041,2.998387678940332,0
950.7143064099162,172.38636210516623,951.1049854698194,172.41254848953002,99.91521185634376,100.08945522975746,13.979718905838851,13.959576915831153,0
731.9939418114051,872.3945633548149,732.1845641389862,872.3742602389756,49.54710616906165,49.531070792054884,39.36935796896158,39.39525101178415,0
598.6584841970366,613.1162390692415,598.926887931649,612.4914566132795,14.775723656416396,15.014662591219375,36.964323838370234,36.778357534315255,0
156.01864044243652,157.20388355695425,155.67623438756706,157.1567490215718,70.33456748601556,70.40329348086321,46.52289512871891,46.680512381493045,0
155.99452033620264,962.3380574812069,155.06537459209008,962.0842104170121,70.32599411005616,69.97152186208962,46.530744041003445,46.53390623839447,0
58.08361216819946,518.3654633353207,58.21945396044947,519.1608612064063,28.635280434501297,28.655386227983538,6.9292411229032815,7.033643635847519,0
866.1761457749352,72.898451871655,866.4680643157047,72.68082777315242,92.81041381570697,92.57558702457496,3.59032191719858,3.617822147027761,0
601.1150117432088,626.8329044150672,600.3689607346362,627.480507951402,13.559857726426932,13.532847376087462,38.94166053778589,39.061178278937035,0
708.0725777960455,253.19890701281022,707.8324705789793,253.33333240601073,38.82853599177421,38.86342746799666,18.110158354101106,18.105653942300012,0
20.584494295802447,803.6934518773024,20.36816453910415,803.8896798865377,10.27408574717833,10.119725203264462,43.5465087597476,43.425565226851695,0
969.9098521619943,817.8220735661906,970.5312656086577,818.1856575606366,99.06082664424217,99.07180857900921,11.916811495320921,12.083325733575299,0
832.4426408004217,978.9473558546619,832.3087580410593,979.6087074646564,85.24326328192876,85.27252562941639,21.75844293209124,21.6559678570836,0
212.33911067827614,501.8695310245037,213.26313077416157,502.36488644781576,87.31831366965085,87.29814349781591,16.97913966248976,17.051856788443157,0
181.82496720710063,454.95687972773715,181.62311549010167,455.37145424526693,78.89663092500392,78.49811783078992,34.718980982999355,34.617000849629896,0
183.4045098534338,753.4756054464806,183.89413972557728,753.3507776773711,79.37942964459272,79.41402002707417,33.84038420266052,33.70570563644898,0
304.24224295953775,132.47065634192657,305.1661764573888,133.06592116378542,99.87709101936252,99.84364348296664,13.888192292381834,13.847722706695501,0
524.7564316322379,546.9155137931242,525.2712338129477,547.9067490182086,49.49788542969496,49.65684547233019,39.293382425615846,39.510562692355506,0
431.94501864211577,546.247600130851,431.4838429775848,545.8379067156015,83.15361948295592,82.95546262994702,26.334755605766034,26.37893167073098,0
291.22914019804193,89.47312281038722,291.3169419729441,89.39714724865124,99.3434813217283,99.47835775974886,12.601871906622254,12.725104767143721,0
611.8528947223795,417.9840855069136,611.090063517736,417.68559949296304,8.223520906157475,8.360211505177984,45.83257030339888,45.785796435013026,0
139.49386065204183,853.284798567202,139.09475761386275,853.7940672810272,64.22800427527771,64.01308759699039,49.87822207856827,49.84806409778916,0
292.14464853521815,856.1536219946603,292.30897054812056,855.8667120377053,99.39480722518202,99.52533316785089,12.726002708644938,12.6691150111252,0
366.3618432936917,99.237664919681,367.0661530404147,99.17479177093311,96.61290882110752,96.72478717722508,5.89905126522814,5.973653660526422,0
456.06998421703594,90.72088274783086,455.7562142156639,89.69413947350291,75.86527827355745,75.92540423266809,39.75356316797373,39.760792002686216,0
785.1759613930136,262.6954770019353,785.4538744068012,262.58221326574386,70.63207422213166,70.56033627233154,46.24524279304929,46.446090094147465,0
199.67378215835973,874.7660625539935,198.93760512760434,875.1330377931756,84.05885845920602,83.96309148284212,24.384686083402187,24.351108221628145,0
514.2344384136117,128.90258507349895,514.0758869973247,128.50086793641333,53.99859879885008,54.093802833889455,45.20210987696624,45.34117423656124,0
592.4145688620424,719.9968026274463,592.6495756926657,720.0484936255524,17.855712019176153,17.69130526932628,31.362248779276126,31.413931305858572,0
46.45041271999772,101.16561961310322,47.52858753586237,100.97527230120568,23.016970220150725,22.954306290258746,20.385640183848334,20.329531270750234,0
607.5448519014384,623.1378537478254,607.3001447841912,621.7652039709892,10.368172829578956,10.435678727221575,43.43043974716388,43.34588452952842,0
170.52412368729154,356.0672991191448,169.71899212789563,356.4438940940111,75.30073873999041,75.12040244248342,40.59361916521353,40.55975225982515,0
65.05159298527951,788.913962965867,65.78481418087381,788.2093550668548,31.955323587983415,31.699890548883786,1.3483291599820373,1.375259778938271,0
948.8855372533333,233.6904488253636,949.4602809353385,232.90327796649763,99.94868045636382,100.01662874583668,14.06003382531219,14.11813377930836,0
965.6320330745593,639.2018293899598,964.6024528327132,639.6010800589135,99.33059980004823,99.47670078002193,12.570705110543063,12.53952655321746,0
808.3973481164611,235.68253457588494,809.0235212976102,236.25076236304736,78.35718171969351,78.37436804064639,35.676715913769684,35.63157137473719,0
304.6137691733707,713.6602831121538,304.12735522707925,713.6415013574707,99.88612599692603,99.98108581687673,13.909889488672105,13.87747180256804,0
97.67211400638386,873.6780345607488,96.57336350375284,874.3123915080371,46.917873343124405,46.94957721343189,34.9892807016565,34.951318251988816,0
684.2330265121569,126.80179912676005,684.6616057063686,127.56411842500142,27.594475191136397,27.127489929555082,9.49560258565612,9.539028950648328,0
440.1524937396013,866.5956885955035,439.43916913419616,866.8452438489029,80.80474551692951,80.82606671732528,31.133555042040207,31.197127694684262,0
